car_name,length,width,height
Acura Legend 2 Sedan 3.2 V6, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura Legend 2 Coupe 3.2 V6, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136.6 cm or 53.78 inches 
Acura Legend 2 Coupe 3.2 V6 Auto, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136 cm or 53.54 inches 
Acura Legend 2 Coupe 3.2 V6, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136 cm or 53.54 inches 
Acura Legend 2 Coupe 3.2 V6 Auto, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136 cm or 53.54 inches 
Acura Legend 2 Coupe 3.2 V6, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136 cm or 53.54 inches 
Acura Legend 2 Coupe 3.2 V6 Auto, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136 cm or 53.54 inches 
Acura Legend 2 Coupe 3.2 V6, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136 cm or 53.54 inches 
Acura Vigor 2.5i Auto, 483.5 cm or 190.35 inches , 178 cm or 70.08 inches , 132 cm or 51.97 inches 
Acura Vigor 2.5i, 483.5 cm or 190.35 inches , 178 cm or 70.08 inches , 132 cm or 51.97 inches 
Acura Vigor 2.5i Auto, 483.5 cm or 190.35 inches , 178 cm or 70.08 inches , 132 cm or 51.97 inches 
Acura Vigor 2.5i, 483.5 cm or 190.35 inches , 178 cm or 70.08 inches , 132 cm or 51.97 inches 
Acura Vigor 2.5i Auto, 483.5 cm or 190.35 inches , 178 cm or 70.08 inches , 132 cm or 51.97 inches 
Acura Vigor 2.5i, 483.5 cm or 190.35 inches , 178 cm or 70.08 inches , 132 cm or 51.97 inches 
Acura Integra 1994 Sports Sedan 1.8i VTEC GS-R (DB8), 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 137 cm or 53.94 inches 
Acura Integra 1994 Sports Sedan 1.8i Auto, 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 137 cm or 53.94 inches 
Acura Integra 1994 Sports Sedan 1.8i, 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 137 cm or 53.94 inches 
Acura Integra 1994 Sports Sedan 1.8i VTEC GS-R (DB8), 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 137 cm or 53.94 inches 
Acura Integra 1994 Sports Sedan 1.8i Auto, 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 137 cm or 53.94 inches 
Acura Integra 1994 Sports Sedan 1.8i, 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 137 cm or 53.94 inches 
Acura Integra 1994 Sports Sedan 1.8i VTEC GS-R (DB8), 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 132.3 cm or 52.09 inches 
Acura Integra 1994 Sports Sedan 1.8i Auto, 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 132.3 cm or 52.09 inches 
Acura Integra 1994 Sports Sedan 1.8i, 452.5 cm or 178.15 inches , 171 cm or 67.32 inches , 132.3 cm or 52.09 inches 
Acura Integra 1994 Sports Coupe 1.8i VTEC GS-R (DB8), 438 cm or 172.44 inches , 171 cm or 67.32 inches , 133.8 cm or 52.68 inches 
Acura Integra 1994 Sports Coupe 1.8i, 438 cm or 172.44 inches , 171 cm or 67.32 inches , 133.8 cm or 52.68 inches 
Acura Integra 1994 Sports Coupe 1.8i Auto, 438 cm or 172.44 inches , 171 cm or 67.32 inches , 133.8 cm or 52.68 inches 
Acura Integra 1994 Sports Coupe 1.8i VTEC Type-R (DC2 - Canada), 438 cm or 172.44 inches , 169.5 cm or 66.73 inches , 132 cm or 51.97 inches 
Acura Integra 1994 Sports Coupe 1.8i Auto, 438 cm or 172.44 inches , 171 cm or 67.32 inches , 133.8 cm or 52.68 inches 
Acura Integra 1994 Sports Coupe 1.8i VTEC GS-R (DB8), 438 cm or 172.44 inches , 171 cm or 67.32 inches , 129 cm or 50.79 inches 
Acura Integra 1994 Sports Coupe 1.8i Auto, 438 cm or 172.44 inches , 171 cm or 67.32 inches , 129 cm or 50.79 inches 
Acura Integra 1994 Sports Coupe 1.8i, 438 cm or 172.44 inches , 171 cm or 67.32 inches , 129 cm or 50.79 inches 
Acura SLX 3.5 V6, 477 cm or 187.8 inches ," 183.5 cm or 72.24 inches ", 183.5 cm or 72.24 inches 
Acura SLX 3.2 V6 Auto, 466 cm or 183.46 inches , 183.5 cm or 72.24 inches , 183.5 cm or 72.24 inches 
Acura SLX 3.2 V6, 466 cm or 183.46 inches , 183.5 cm or 72.24 inches , 183.5 cm or 72.24 inches 
Acura TL I 3.2, 487 cm or 191.73 inches , 180 cm or 70.87 inches  , 141.5 cm or 55.71 inches 
Acura TL I 2.5, 486.5 cm or 191.54 inches , 178.5 cm or 70.28 inches , 140.5 cm or 55.31 inches 
Acura NSX-T (NA1) 3.2 V6 6-speed, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura Integra 1994 Sports Coupe 1.8i VTEC Type-R (DC2), 438 cm or 172.44 inches , 169.5 cm or 66.73 inches , 132 cm or 51.97 inches 
Acura NSX-T (NA1) 3.0 V6 Auto, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX-T (NA1) 3.0 V6 Auto, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX-T (NA1) 3.0 V6, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
